,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,DISTRICT,WEBSITE,Private
15,Chief Kanim Middle School,Chief Kanim,32627 SE Redmond-Fall City Rd,98024,-121.90480937,47.56952419,SNOQUALMIE VALLEY,http://ckms.svsd410.org/,No
16,Administration-86th Ave SE,Admin,4160 86th Ave SE,98040,-122.22347523,47.57134852,MERCER ISLAND,http://www.misd.k12.wa.us/,No
17,Forest Ridge School of the Sacred Heart,Forest Ridge,4800 139th Ave SE,98006,-122.15587906,47.55911406,BELLEVUE,http://www.forestridge.org/newweb/default.htm,No
18,Hillside Student Community,Hillside Student Community,5027 159th Pl SE,98006,-122.12633689,47.55649559,BELLEVUE,http://www.hillsidesc.org/,No
19,Transportation/Maintenance,Transportation/Maintenance,1220 N 4th St,98057,-122.20097595,47.48878103,RENTON,http://www.renton.wednet.edu/transportation/default.htm,No
20,Renton Christian Academy,Renton Christian Academy,221 Hardie Ave NW,98057,-122.21946625,47.48487967,RENTON,http://schools.privateschoolsreport.com/Washington/Renton/RentonChristianAcademy.html,No
21,Orca School-Columbia,Orca (at Columbia),3528 S Ferdinand St,98118,-122.28711743,47.55817711,SEATTLE,http://www.alchemlist.org/Donate_Orca_At_Columbia.php,No
22,Auburn Future Support Site,Future Support,301 Lund Rd,98001,-122.24499542,47.30511287,AUBURN,http://www.auburn.wednet.edu/transportation/Default2.htm,No
23,Northstar Jr High School,Northstar,12033 NE 80th St,98033,-122.1808659,47.67342497,LAKE WASHINGTON,http://www.lwsd.org/school/nsjh/Pages/default.aspx,No
24,Enumclaw Administration,Enumclaw Administration,2929 Mc Dougall Ave,98022,-122.00877678,47.1885467,ENUMCLAW,http://www.lwsd.org/school/dickinson/Pages/default.aspx,No
25,Islamic School of Seattle,Islamic School,720 25th Ave,98122,-122.29990008,47.60885247,SEATTLE,http://www.islamicschoolofseattle.com/,No
26,City University-Redmond,City U-Redmond,6505 176th Ave NE,98052,-122.10647846,47.66443722,LAKE WASHINGTON,http://www.cityu.edu/locations/redmond.htm,No
27,Lake Washington Tech College-Duvall,Lake Wash Tech,15321 Main St NE,98019,-121.98715964,47.73904502,LAKE WASHINGTON,http://www.lwtc.ctc.edu/,No
28,Cascade View Elementary School,Cascade View,34816 SE Ridge St,98065,-121.87581702,47.53249045,SNOQUALMIE VALLEY,http://www.svsd410.org/schools/cascadeview_es/index.asp,No
29,Twin Falls Middle School,Twin Falls,46910 SE Middle Fork Rd,98045,-121.71474538,47.47362463,SNOQUALMIE VALLEY,http://www.svsd410.org/schools/middle_school3/index.asp,No
30,Holy Family Parish School,Holy Family Parish School,7300 120TH AVE NE,98033,-122.18067757,47.67022912, , ,No
31,Lake Washington Institute of Technology Kirkland Campus,Lake Wash Institute of Technology,11605 132nd Ave NE,98034,-122.16688156,47.70461794,LAKE WASHINGTON,http://www.lwtc.edu/,No
32,South Seattle College,South Seattle College,6000 16th Ave SW,98106,-122.35109365,47.54851576,SEATTLE,http://www.southseattle.edu/,No
33,Highline College,Highline College,2400 S 240th St,98198,-122.30022146,47.38977986,HIGHLINE,http://www.highline.edu/home/,No
34,Seattle Pacific University,Seattle Pacific U,3307 3rd Ave W,98119,-122.36265479,47.64962624,SEATTLE,http://www.spu.edu/,No
35,Renton Technical College,Renton Techical College,3000 NE Fourth St,98056,-122.17675839,47.49391158,RENTON,http://www.rtc.edu/,No
36,North Seattle College,North Seattle College,9600 College Way N,98103,-122.3326188,47.69938682,SEATTLE,http://www.northseattle.edu/,No
37,Bastyr University,Bastyr University,14500 Juanita Dr NE,98028,-122.25136443,47.73019811,LAKE WASHINGTON,http://www.bastyr.edu/,No
38,Administration-Vashon Hwy SW,Admin,20414 Vashon Hwy SW,98070,-122.45981576,47.42159743,VASHON,http://www.vashonsd.wednet.edu/,No
39,Support Service Center,Support Service Center,15212 NE 95th St,98052,-122.13763055,47.68678812,LAKE WASHINGTON,http://www.lwsd.org/lwsd/html/programs/support_services.asp,No
40,Lake Washington Institute of Technology Redmond Campus,Lake Wash Inst of Tech Redmond Campus,6505 176th Ave NE,98052,-122.10647706,47.66443943,LAKE WASHINGTON,http://www.lwtc.ctc.edu/,No
41,Calvary Lutheran School,Calvary Lutheran,3420 SW Cloverdale,98126,-122.37626793,47.5266674,SEATTLE,http://www.seattle.com/calvary-lutheran-church-missouri-synod-b849431,No
42,Amazing Grace School,Amazing Grace,10056 Renton Ave S,98178,-122.25975869,47.51086892,SEATTLE,http://www.agcschool.org/,No
43,Southwood School,Southwood School,3240 McDougall Ave,98022,-122.01185498,47.18738084,ENUMCLAW,http://www.enumclaw.wednet.edu/Schools/Southwood/index.html,No
44,Seattle Academy of Arts & Sciences,Seattle Academy,1201 E Union St,98122,-122.31635286,47.6127092,SEATTLE,http://www.seattleacademy.org/,No
45,Truman High School,Truman High School,31455 28th Ave S,98003,-122.29815958,47.31868848,FEDERAL WAY,http://schools.fwps.org/truman/,No
46,Learning Tree Montessori School,Learning Tree,1721 15th Ave,98122,-122.31307237,47.61712824,SEATTLE,http://www.learningtreemontessori.com/,No
47,St Alphonsus School,St Alphonsus School,5816 15th Ave NW,98107,-122.37562636,47.67119573,SEATTLE,http://www.saintalsseattle.org/,No
48,Spruce Street School,Spruce Street,914 Virginia,98101,-122.3353341,47.61687137,SEATTLE,http://www.sprucestreetschool.org/,No
49,Peter Kirk School,Peter Kirk School,1312 6th St,98033,-122.19595282,47.68603717,LAKE WASHINGTON,http://schools.lwsd.org/kirk/,No
50,Pacific Crest School,Pacific Crest,600 NW Bright St,98107,-122.36448977,47.66014427,SEATTLE,http://pacificcrest.org/,No
51,Highland Park School,Highland Park School,1012 SW Trenton,98106,-122.34845761,47.52526372,SEATTLE,http://www.seattleschools.org/schools/hpel/,No
52,Morningside Academy,Morningside,201 Westlake Ave N,98109,-122.33886011,47.61996486,SEATTLE,http://www.morningsideacademy.org/,No
53,Midway School,Midway School,22447 24th Ave S,98198,-122.30341346,47.39990626,HIGHLINE,http://www.hsd401.org/ourschools/elementaryschools/midway/,No
54,Puesta Del Sol Elementary,Puesta Del Sol,3810 132nd Ave SE,98006,-122.16381664,47.57554631,BELLEVUE,http://www.bsd405.org/Default.aspx?tabid=205,No
55,Cougar Mtn Academy School,Cougar Mtn Academy School,5410 194th Ave SE,98027,-122.08069402,47.55308171,ISSAQUAH,http://www.cougarmountainacademy.org/,No
56,Renton Academy/Hazelwood Elementary,Renton Academy/Hazelwood Elementary,6928 116th Ave SE,98056,-122.18519096,47.54038953,RENTON,http://rentonacademy.rentonschools.us/,No
57,Redmond School,Redmond School,16800 NE 80th St,98052,-122.11649012,47.67543685,LAKE WASHINGTON,http://schools.lwsd.org/redmond/,No
58,Northwest School for Hearing-Impaired Children,NW School Hearing Impaired,1503 Westminster Way N,98133,-122.35032035,47.74072808, ,http://www.northwestschool.com/,No
59,North Hill School,North Hill School,19835 8th Ave S,98148,-122.32708175,47.4247938,HIGHLINE,http://www.hsd401.org/ourschools/elementaryschools/northhill/,No
60,Middle College High School at High Point Center,Middle College High School at High Point,6400 Sylvan Way SW,98126,-122.37215017,47.54486675,SEATTLE,http://south-seattle-communi.middlecollegehs.seattleschools.org,No
61,Snoqualmie School,Snoqualamie School,39801 SE Park St,98065,-121.81023196,47.52329888,SNOQUALMIE VALLEY,http://www.svsd410.org/schools/snoqualmie_es/index.asp,No
62,Middle College High School at Seattle University,Middle College High School at Seattle U,1330 N. 90th St,98103,-122.34048647,47.69510206,SEATTLE,http://seattle-university.middlecollegehs.seattleschools.org,No
63,Carnation School,Carnation School,4950 Tolt Ave,98014,-121.91120926,47.6515084,RIVERVIEW,http://www.ce.riverview.wednet.edu/,No
64,Eastgate School,Eastgate School,4255 153rd Ave SE,98006,-122.13733847,47.57035423,BELLEVUE,http://www.bsd405.org/Default.aspx?tabid=117,No
65,Middle College High School at University of Washington,Ida B. Wells Middle College High School,3923 Okanogan LN NE,98195,-122.30993833,47.65378928, , ,No
66,Lawton School,Lawton School,4017 26th Ave W,98199,-122.39047604,47.65671072,SEATTLE,http://www.seattleschools.org/schools/lawton/,No
67,Eton School,Eton School,2701 BEL RED RD,98008,-122.12846817,47.63442824, , ,No
68,Dearborn Park School,Dearborn Park School,2820 S Orcas St,98108,-122.29628892,47.55226045,SEATTLE,http://www.seattleschools.org/schools/dearborn/,No
69,Eton School,Eton School,2701 BEL RED RD,98008,-122.12846817,47.63442824,BELLEVUE,http://www.etonschool.org/,No
70,Soos Creek School,Soos Creek School,12651 SE 218th Pl,98031,-122.17190214,47.4061354,KENT,http://www.kent.k12.wa.us/ksd/SC/,No
71,Living Wisdom School,Living Wisdom School,2000 NE PERKINS WAY,98155,-122.30818194,47.76491257, , ,No
72,Art Institute of Seattle,Art Institute of Seattle,2323 Elliot Ave,98121,-122.34896697,47.6123348,SEATTLE,http://www.artinstitutes.edu/seattle/,No
73,City University Washington Academy of Languages,Washington Academy of Languages,2 NICKERSON ST,98109,-122.35682079,47.64975986, , ,No
74,Cedar Valley School,Cedar Valley School,26500 Timberland Way SE,98042,-122.08567013,47.36475359,KENT,http://www.kent.k12.wa.us/ksd/CV/,No
75,Cedar River Academy,Cedar River Academy,3333 GRIFFIN AVE,98022,-122.01291425,47.20717083, , ,No
76,Holy Family Parish School,Holy Family Parish School,7300 120TH AVE NE,98033,-122.18067757,47.67022912, , ,No
77,St Catherine of Siena Parish School,St Catherine School,8524 8th Ave NE,98115,-122.31991771,47.69061563,SEATTLE,http://www.stcatherineschool.net/,No
78,Louisa May Alcott School,Louisa May Alcott School,4213 228th Ave NE,98053,-122.03756026,47.64672136,LAKE WASHINGTON,http://www.lwsd.org/school/alcott/Pages/default.aspx,No
79,Newport High School,Newport High School,4333 Factoria Blvd. SE,98006,-122.17179263,47.56771892,BELLEVUE,http://www.bsd405.org/Default.aspx?tabid=125,No
80,Rose Hill Jr High School,Rose Hill Jr High School,13505 NE 75th St,98052,-122.15985385,47.67064135,LAKE WASHINGTON,http://schools.lwsd.org/rhjh/,No
81,Panther Lake School-Kent,Panther Lake School in Kent,10200 SE 216th St,98031,-122.20464063,47.4096275,KENT,http://www.kent.k12.wa.us/ksd/PL/,No
82,Bellevue Christian High School,Bellevue Christian High School,1601 98th Ave NE,98004,-122.21104644,47.62576374,BELLEVUE,http://www.bellevuechristian.org/,No
83,Kirkland SDA School,Kirkland SDA School,5320 108th Ave NE,98033,-122.19550597,47.65703956,LAKE WASHINGTON,http://www.ksdaschool.org/article.php?id=2,No
84,West Seattle High School,West Seattle High School,3000 California Ave SW,98116,-122.38527096,47.5769728,SEATTLE,http://westseattlehs.seattleschools.org/,No
85,Watson-Groen Christian High School,Watson-Groen Christian High School,2400 NE 147th St,98155,-122.30298119,47.73642355,SHORELINE,http://www.shorelinechristian.org/scs/,No
86,Oliver M Hazen High School,Oliver M Hazen High School,1101 Hoquiam Ave NE,98059,-122.15235206,47.5016277,RENTON,http://hazen.rentonschools.us/,No
87,Redmond Christian School,Redmond Christian School,2315 173rd Ave NE,98052,-122.10997771,47.63063108,LAKE WASHINGTON,none,No
88,Laurelhurst School,Laurelhurst School,4530 46th Ave NE,98105,-122.27784865,47.66219571,SEATTLE,http://www.seattleschools.org/schools/laurelhurst/,No
89,Mark Twain School-Kirkland,Mark Twain School in Kirkland,9525 130th Ave NE,98033,-122.1692307,47.68687318,LAKE WASHINGTON,http://schools.lwsd.org/twain/,No
90,Chinook School,Chinook School,3502 Auburn Way S,98092,-122.18075331,47.28946301,AUBURN,http://www.auburn.wednet.edu/homepages/chinook/default.htm,No
91,Rose Hill School,Rose Hill School,8110 128th Ave NE,98033,-122.167214,47.67609414,LAKE WASHINGTON,http://schools.lwsd.org/rosehill/,No
92,Benjamin Franklin School,Benjamin Franklin School,12434 NE 60th St,98033,-122.17364288,47.66140008,LAKE WASHINGTON,http://schools.lwsd.org/franklin/,No
93,Fred Nelson Middle School,Fred Nelson Middle School,2403 Jones Ave S,98055,-122.19866019,47.45781636,RENTON,http://www.renton.wednet.edu/nelsen/default.html,No
94,West Seattle Christian School,West Seattle Christian School,4401 42nd Ave SW,98116,-122.38516809,47.56433878,SEATTLE,http://www.westseattlechristian.org/,No
95,Whitworth Elementary School,Whitworth Elementary,5215 46th Av S,98118,-122.27595835,47.55477679,SEATTLE,http://www.seattleschools.org/schools/whitworth/,No
96,Finn Hill Jr High School,Finn Hill Jr High School,8040 NE 132nd St,98034,-122.23207438,47.72007748,LAKE WASHINGTON,http://schools.lwsd.org/fhjh/,No
97,Auburn Adventist Academy High School,Auburn Adventist Academy High School,5000 Auburn Way S,98092,-122.16216573,47.28078164,AUBURN,http://www.auburn.org/,No
98,University of Washington Arboretum,U of W Arboretum,2300 Arboretum Dr E,98112,-122.29445752,47.63993563,SEATTLE,http://depts.washington.edu/wpa/index.htm,No
99,Parkwood School,Parkwood School,1815 N 155th St,98133,-122.33652761,47.74077764,SHORELINE,http://schools.shorelineschools.org/parkwood/,No
100,Mt Si High School,Mt Si High School,8651 Meadowbrook Way SE,98065,-121.81688753,47.52277856,SNOQUALMIE VALLEY,http://www.mountsihighschool.com/,No
101,Van Asselt School,Van Asselt School,7201 Beacon Ave S,98108,-122.295693,47.53753061,SEATTLE,http://www.seattleschools.org/schools/vanasselt/home.html,No
102,Seattle University Gymnasium,SU Gymnasium,E Jefferson St & 15th Ave E,98122,-122.31350182,47.60732929,SEATTLE,http://www.seattleu.edu/,No
103,West Auburn Continuation High School,West Auburn Continuation High School,401 W Main St,98001,-122.23456637,47.30861491,AUBURN,http://www.auburn.wednet.edu/homepages/wahs/index.htm,No
104,Eastside Catholic High School,Eastside Catholic High School,232 228th Ave SE,98006,-122.18264336,47.55031566,BELLEVUE,http://www.echs.bellevue.wa.us/,No
105,McGilvra School,McGilvra School,1617 38th Ave E,98112,-122.28483339,47.63407583,SEATTLE,http://www.mcgilvraschool.org/,No
106,Briarcrest  Intermediate,Briarcrest  Intermediate,2715 NE 158th St,98155,-122.2977325,47.74224151, , ,No
107,Emily Dickenson School,Emily Dickenson School,7040 208th Ave NE,98053,-122.05992485,47.6699953,LAKE WASHINGTON,http://www.lwsd.org/school/dickinson/Pages/default.aspx,No
108,Olympic View School in Seattle,Olympic View School in Seattle,500 NE 95th St,98115,-122.32126217,47.69820691,SEATTLE,http://www.seattleschools.org/schools/olyview/,No
109,Henry David Thoreau School,Henry David Thoreau School,8224 NE 138th St,98034,-122.23092438,47.72471776,LAKE WASHINGTON,http://schools.lwsd.org/thoreau/index.asp,No
110,Meridian School,Meridian School,25621 140th Ave SE,98042,-122.15541981,47.37193712,KENT,http://www.kent.k12.wa.us/ksd/MJ/,No
111,Holy Family School-Kirkland,Holy Family School in Kirkland,7300 120th Ave NE,98033,-122.18067757,47.67022912,LAKE WASHINGTON,http://www.hfkschool.org/,No
112,Cornish College of the Arts,Cornish College of the Arts,1000 Lenora St,98121,-122.33628884,47.6181543,SEATTLE,http://www.seattleschools.org/area/facilities/BEXI/Cooper.xml,No
113,Camp Waskowitz,Camp Waskowitz,45505 SE 150th ST,98045,-121.73405777,47.46912227,HIGHLINE,http://www.hsd401.org/ourschools/campwaskowitz/,No
114,Lafayette School,Lafayette School, 2645 California Ave SW,98116,-122.38723638,47.57949364,SEATTLE,http://www.mylafayette.org/,No
115,Two Rivers School,Two Rivers,330 Ballarat Ave N,98045,-121.78208341,47.49615248,SNOQUALMIE VALLEY,http://trhs.svsd410.org/,No
116,Bush High School,Bush High School,3400 E Harrison St,98112,-122.28879455,47.6229054,SEATTLE,http://www.bush.edu/home/,No
117,Sunrise School in Woodinville,Sunrise School in Woodinville,14075 172nd Ave NE,98052,-122.10850727,47.72743593,NORTHSHORE,http://schoolcenter.nsd.org/education/school/school.php?sectionid=32,No
118,Odea High School,Odea High School,802 Terry Ave,98104,-122.32481509,47.6077545,SEATTLE,http://www.odea.org/,No
119,Thomas Jefferson High School,Thomas Jefferson High School,4248 S 288th St,98001,-122.27897611,47.34422913,FEDERAL WAY,http://schools.fwps.org/tj/,No
120,Villa Academy School,Villa Academy School,5001 NE 50th St,98105,-122.27345665,47.66372346,SEATTLE,http://www.thevilla.org/,No
121,Seahurst School,Seahurst School,14603 14th Ave SW,98166,-122.35391754,47.47112273,HIGHLINE,http://www.hsd401.org/ourschools/elementaryschools/seahurst/,No
122,Little School,Little School,2812 116th Ave NE,98004,-122.18376815,47.63605336,BELLEVUE,http://www.thelittleschool.org/,No
123,St Philomenas School,St Philomenas School,1815 S 220th St,98198,-122.31085775,47.40441716,HIGHLINE,http://stphilomenaschool.com/?page_id=8,No
124,Tillicum Middle School,Tillicum Middle School,16020 SE 16th St,98008,-122.12540604,47.59876178,BELLEVUE,http://www.bsd405.org/Default.aspx?tabid=137,No
125,Helen Keller School,Helen Keller School,13820 108th Ave NE,98034,-122.19569438,47.72481116,LAKE WASHINGTON,http://schools.lwsd.org/keller/,No
126,Seattle Christian School,Seattle Christian School,19639 28th Ave S,98188,-122.29890839,47.42544407,SEATTLE,http://www.seattlechristian.com/academics/h_school.asp,No
127,Renton Park School,Renton Park School,16828 128th Ave SE,98058,-122.16892886,47.45185064,RENTON,http://rentonpark.rentonschools.us/,No
128,Seattle Hebrew School,Seattle Hebrew School,1617 Interlaken Dr E,98112,-122.30792796,47.63442056,SEATTLE,http://www.seattlehebrewacademy.org/,No
129,Maple School,Maple School,4925 Corson Ave S,98108,-122.3189111,47.55812826,SEATTLE,http://www.seattleschools.org/schools/maple/homepage.html,No
130,Bertschi School,Bertschi School,2227 10th Ave E,98102,-122.32035024,47.63931398,SEATTLE,http://www.bertschi.org/bertschi/,No
131,Pacific Middle School,Pacific Middle School,22705 24th Ave S,98198,-122.30320563,47.3983812,HIGHLINE,http://www.hsd401.org/ourschools/middleschools/pacific/,No
132,Woodmont School,Woodmont School,26454 16th Ave S,98198,-122.31218322,47.36352138,FEDERAL WAY,http://schools.fwps.org/woodmont/,No
133,Enumclaw Christian School,Enumclaw Christian School,2501 Warner Ave,98022,-122.00159972,47.19253117,ENUMCLAW,http://schools.privateschoolsreport.com/Washington/Enumclaw/EnumclawChristianSchool.html,No
134,Highline High School,Highline High School,225 S 152nd St,98148,-122.32870928,47.46615004,HIGHLINE,http://www.hsd401.org/ourschools/highschools/highline/,No
135,University Prep Academy High School,University Prep Academy High School,8015 27th Ave NE,98115,-122.29928744,47.68698493, ,http://www.universityprep.org/,No
136,Thurgood Marshall School,Thurgood Marshall School,2401 S Irving St,98144,-122.29984629,47.59095852,SEATTLE,http://www.seattleschools.org/area/main/ShowSchool?HighSel=heading&MiddleSel=heading&ElementarySel=212&AlternativeSel=heading&ElementaryBtn.x=8&ElementaryBtn.y=5,No
137,Woodridge School,Woodridge School,12619 SE 20th Pl,98005,-122.17287957,47.59195646,BELLEVUE,http://www.bsd405.org/Default.aspx?tabid=166,No
138,Syre School,Syre School,19545 12th Ave NW,98177,-122.37271174,47.77180459,SHORELINE,http://www.shorelineschools.org/schools/profiles/syre.php,No
139,Comm Chapel Christian School,Comm Chapel Christian School,18635 8th Ave S,98148,-122.32608226,47.43524602,HIGHLINE,none,No
140,Christa Mcauliffe School,Christa Mcauliffe School,23823 NE 22nd St,98074,-122.02089733,47.62871697,LAKE WASHINGTON,http://schools.lwsd.org/mcauliffe/,No
141,Valley Christian School,Valley Christian School,1312 2nd St NE,98002,-122.21107408,47.30644934,AUBURN,http://www.valley-christian.com/,No
142,Schmitz Park School,Schmitz Park School,5000 SW Spokane St,98116,-122.39673266,47.57268731,SEATTLE,http://www.seattleschools.org/schools/spark/,No
143,Panther Lake School-Federal Way,Panther Lake School in Federal Way,34424 1st Ave S,98003,-122.33373731,47.29267565,FEDERAL WAY,http://schools.fwps.org/panther/,No
144,Calvary Luthern,Calvary Lutheran,16231 NE 6th St,98008,-122.12221572,47.61488118,BELLEVUE,http://www.calvarylutheranbellevue.org/,No
145,Day School,Day School,3921 Linden Ave N,98103,-122.34905012,47.65475497,SEATTLE,http://www.seattleschools.org/schools/bfday/,No
146,Park Orchard School,Park Orchard School,11010 SE 232nd St,98031,-122.19354489,47.39529158,KENT,http://www.kent.k12.wa.us/ksd/PO/,No
147,John Stanford International School,John Stanford Intl,4057 5th Ave NE,98105,-122.32405338,47.65752644,SEATTLE,http://www.newhorizons.org/strategies/multicultural/aoki.htm,No
148,Northwest High School,Northwest High School,1415 Summit Ave,98122,-122.32594399,47.61338922,SEATTLE,http://www.northwestschool.org/,No
149,Explorer West Middle School,Exlplorer West,10015 28th Ave SW,98146,-122.36933173,47.51319982,HIGHLINE,http://www.explorerwest.org/,No
150,West Mercer School,West Mercer School,4141 81st Ave SE,98040,-122.23110717,47.57163016,MERCER ISLAND,http://www.misd.k12.wa.us/schools/wm/,No
151,Billings Middle School,Billings Middle,7217 Woodlawn Ave NE,98115,-122.32522465,47.68088554,SEATTLE,http://www.billingsmiddleschool.org/,No
152,Pacific Cascade Middle School,Pacific Cascade Middle,24635 SE Issaquah-Fall City Rd,98029,-122.01010415,47.55964209,ISSAQUAH,http://www.issaquah.wednet.edu/schools/School.aspx?loc=pacific&dord=225,No
153,Giddens School Private,Giddens,620 20th Ave S,98144,-122.30601829,47.59695303,SEATTLE,http://www.localschooldirectory.com/private-school/27856/WA,No
154,Kent Meridian High School,Kent Meridian High School,10020 SE 256th St,98030,-122.20762767,47.37340097,KENT,http://www.kent.k12.wa.us/ksd/KM/,No
155,Puget Sound Primary School,PS Primary,1122 E John St,98102,-122.31715971,47.62011519,SEATTLE,http://www.trulia.com/schools/WA-Seattle/Puget_Sound_Primary_School/,No
156,Sunset School in Factoria,Sunset School in Factoria,3810 132nd Ave SE,98006,-122.16381664,47.5755463,BELLEVUE,http://www.bsd405.org/Default.aspx?tabid=205,No
157,Middle College High School at Northgate Mall,Middle College High School at Northgate,401 NE Northgate Way,98125,-122.32377009,47.70824669,SEATTLE,http://northgate-mall.middlecollegehs.seattleschools.org,No
158,Sunset Intermediate School,Sunset Intermediate School,17800 10th Ave NW,98177,-122.36825817,47.75823433,SHORELINE,http://washington.schooltree.org/public/Sunset-Elementary-093494.html,No
159,Kapka Cooperative Primary School,Kapka Coop,4918 Linden Ave N,98103,-122.34834987,47.66478989,SEATTLE,http://www.kapkaschool.org/,No
160,South Lake High School,South Lake,8825 Rainier Ave S,98118,-122.27147232,47.52412139,SEATTLE,http://www.seattleschools.org/area/siso/reports/anrep/altern/960.pdf,No
161,Adams School,Adams School,2637 NW 62nd St,98107,-122.39212052,47.67349706,SEATTLE,http://www.seattleschools.org/schools/adams/,No
162,Green River CC Kent Campus,Green R CC - Kent,417 Ramsey Way Suite 112,98032,-122.23514154,47.38449081,KENT,http://www.greenriver.edu/kent/,No
163,Rachel Carson,Carson,1035 244th Ave NE,98074,-122.0153975,47.61956802,LAKE WASHINGTON,http://www.lwsd.org/school/carson/Pages/default.aspx,No
164,Shoreline Childrens Center,Shoreline Children's Center,1900 N 170th St,98133,-122.33610414,47.75289725,SHORELINE,http://schools.shorelineschools.org/slcc/,No
165,Cooper School,Cooper School,1901 SW Genesee St,98106,-122.35792272,47.56267809,SEATTLE,http://www.seattleschools.org/area/facilities/BEXI/Cooper.xml,No
166,Creekside Elementary School,Creekside,20777 SE 16th St,98075,-122.06371869,47.59470167,ISSAQUAH,http://www.issaquah.wednet.edu/schools/School.aspx?loc=creekside&dord=204,No
167,Fircrest School,Fircrest School,15230 15th Ave NE,98155,-122.30910235,47.74035743, , ,No
168,Endeavor School,Endeavor,26205 SE Issaquah-Fall City Rd,98029,-121.98826641,47.57041701,ISSAQUAH,http://www.endeavour.issaquah.wednet.edu/,No
169,Maplewood Heights School,Maplewood Heights School,130 Jericho Ave SE,98059,-122.14710254,47.48240531,RENTON,http://www.renton.wednet.edu/schools/mplw.htm,No
170,Cedar River Academy,Cedar River Academy,3333 GRIFFIN AVE,98022,-122.01291425,47.20717083, , ,No
171,Northwest Montessori School,Northwest Montessori School,7400 25th Ave NE,98115,-122.30033769,47.68223418,SEATTLE,http://www.northwestmontessori.org/,No
172,Puget Sound Adventist Academy,Puget Sound Adventist Academy,5320 108TH AVE NE,98033,-122.19549612,47.6565434, , ,No
173,Renton Park School-Honeydew,Renton Park,800 Union Ave NE,98059,-122.16325232,47.49635042,RENTON,http://www.schooldigger.com/go/WA/schools/0723002721/school.aspx,No
174,Terminal Park School,Terminal Park School,1101 D St SE,98002,-122.22471929,47.29800137,AUBURN,http://www.auburn.wednet.edu/homepages/termpark/default.htm,No
175,St Therese School,St Therese School,900 35th Ave,98122,-122.28800443,47.61118229,SEATTLE,http://www.stthereseseattle.org/,No
176,North Beach School,North Beach School,9018 24th Ave NW,98117,-122.38709925,47.69486952,SEATTLE,http://www.seattleschools.org/schools/northbeach/,No
177,Samantha Smith School,Samantha Smith School,23305 NE 14th St,98074,-122.02729723,47.62080966,LAKE WASHINGTON,http://schools.lwsd.org/smith/index.htm,No
178,Tolt High School,Tolt High School,3740 Tolt Ave,98104,-121.91432624,47.64242189, ,http://www.tolths.com/,No
179,Ham Lake Area School-Pollard Proper,Ham Lake Area-Pollard Proper,16820 SE 240th St,98042,-122.1179736,47.38765391,KENT,http://www.kent.k12.wa.us/WebNav/default-non-std.aspx,No
