,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,POPULATION,COUNTY,LATITUDE,LONGITUDE,NAICS_DESC,WEBSITE,LEVEL_,ENROLLMENT,Private
20,CAMAS MONTESSORI SCHOOL,522 NE 23RD AVE,CAMAS,WA,98607,(360) 834-7434,15,CLARK,45.588396009,-122.398574714,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9703510,1,12,yes
21,JOURNEY CHRISTIAN SCHOOL,96 GARDEN ST,KELSO,WA,98626,(360) 423-9250,50,COWLITZ,46.191496586,-122.916429526,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01912912,1,46,yes
22,ST ROSE SCHOOL,720 26TH AVE,LONGVIEW,WA,98632,(360) 577-6760,130,COWLITZ,46.13233248,-122.953352474,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01461038,1,120,yes
23,KINGSPOINT CHRISTIAN SCHOOL,7900 W CT ST,PASCO,WA,99301,(509) 547-6498,83,FRANKLIN,46.242388018,-119.194790371,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01461832,3,72,yes
24,ST PATRICK'S CATHOLIC SCHOOL,1016 N 14TH AVE,PASCO,WA,99301,(509) 547-7261,189,FRANKLIN,46.236423195,-119.108167987,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01461355,1,179,yes
25,TRI-CITIES PREP,9612 SAINT THOMAS DR,PASCO,WA,99301,(509) 546-2465,161,FRANKLIN,46.272511345,-119.216138436,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0110181,2,149,yes
26,TRI-CITY ADVENTIST SCHOOL,4115 W HENRY ST,PASCO,WA,99301,(509) 547-8092,100,FRANKLIN,46.238304549,-119.146059135,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01464072,3,93,yes
27,MOSES LAKE CHRISTIAN ACADEMY,1475 NELSON RD NE STE A,MOSES LAKE,WA,98837,(509) 765-9704,195,GRANT,47.11446498,-119.253944476,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01462982,3,180,yes
28,CRESTVIEW CHRISTIAN SCHOOL & BRITE BEGINNINGS,1601 W VALLEY RD,MOSES LAKE,WA,98837,(509) 765-4632,49,GRANT,47.137958041,-119.307068878,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01463771,3,45,yes
29,MARLIN HUTTERITE SCHOOL,21344 RD 18 NE,MARLIN,WA,98832,(509) 345-2390,35,GRANT,47.349994454,-119.033562354,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0303290,3,32,yes
30,GRAYS HARBOR ADVENTIST CHRISTIAN SCHOOL,1216 US HIGHWAY 12,MONTESANO,WA,98563,(360) 249-1115,14,GRAYS HARBOR,46.978959059,-123.655810558,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01463625,1,12,yes
31,ST MARY SCHOOL,518 N H ST,ABERDEEN,WA,98520,(360) 532-1230,143,GRAYS HARBOR,46.979842106,-123.819865202,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460872,1,135,yes
32,OAK HARBOR CHRISTIAN SCHOOL,675 E WHIDBEY AVE,OAK HARBOR,WA,98277,(360) 675-2831,65,ISLAND,48.297947962,-122.650360238,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01462155,1,58,yes
33,DER KINDERHUIS MONTESSORI,900 SE DOCK ST,OAK HARBOR,WA,98277,(360) 675-4165,23,ISLAND,48.290643229,-122.648941383,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0110113,1,21,yes
34,ISLAND CHRISTIAN ACADEMY,5373 MAXWELTON RD,LANGLEY,WA,98260,(360) 221-0919,87,ISLAND,48.01473451,-122.408709695,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9301047,3,81,yes
35,JEFFERSON COMMUNITY SCHOOL,280 QUINCY ST,PORT TOWNSEND,WA,98368,(360) 385-0622,20,JEFFERSON,48.115908006,-122.754675675,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0509263,2,16,yes
36,SUNFIELD FARM & WALDORF SCHOOL,111 SUNFIELD LN,PORT HADLOCK,WA,98339,(360) 385-3658,109,JEFFERSON,48.035000097,-122.782590034,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0702411,1,100,yes
37,CEDARBROOK ADVENTIST CHRISTIAN,461 KENNEDY RD,PORT HADLOCK,WA,98339,(360) 385-4610,14,JEFFERSON,48.034634337,-122.792980538,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=AA000018,1,13,yes
38,SWAN SCHOOL,2345 KUHN ST,PORT TOWNSEND,WA,98368,(360) 385-7340,36,JEFFERSON,48.117080843,-122.781639621,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9304111,1,30,yes
39,HOLY FAMILY PARISH SCHOOL,7300 120TH PL NE,KIRKLAND,WA,98033,(425) 827-0444,263,KING,47.670562083,-122.180584081,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460271,1,240,yes
40,OUR LADY OF GUADALUPE SCHOOL,3401 SW MYRTLE ST,SEATTLE,WA,98126,(206) 935-0651,220,KING,47.538831586,-122.375966163,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460497,1,208,yes
41,OUR LADY OF THE LAKE SCHOOL,3520 NE 89TH ST,SEATTLE,WA,98115,(206) 525-9980,233,KING,47.693595955,-122.289415985,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460522,1,219,yes
42,ST CATHERINE SCHOOL,8524 8TH AVE NE,SEATTLE,WA,98115,(206) 525-0581,204,KING,47.690590979,-122.319950487,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460577,1,190,yes
43,ST PAUL SCHOOL,10001 57TH AVE S,SEATTLE,WA,98178,(206) 725-0780,136,KING,47.510635846,-122.262691076,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460668,1,124,yes
44,ST THERESE CATHOLIC ACADEMY,900 35TH AVE,SEATTLE,WA,98122,(206) 324-0460,147,KING,47.611431257,-122.287981501,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460679,1,137,yes
45,BISHOP BLANCHET HIGH SCHOOL,8200 WALLINGFORD AVE N,SEATTLE,WA,98103,(206) 527-7711,928,KING,47.689553678,-122.336039563,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460737,2,855,yes
46,ST PHILOMENA SCHOOL,1815 S 220TH ST,DES MOINES,WA,98198,(206) 824-4051,271,KING,47.404497531,-122.310921143,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460919,1,257,yes
47,FOREST RIDGE SCHOOL OF THE SACRED HEART,4800 139TH AVE SE,BELLEVUE,WA,98006,(425) 641-0700,378,KING,47.558933526,-122.15530039,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01461005,3,324,yes
48,HILLSIDE STUDENT COMMUNITY SCHOOL,5027 159TH PL SE,BELLEVUE,WA,98006,(425) 747-6448,55,KING,47.557501893,-122.127118449,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01461923,3,43,yes
49,BELLEVUE CHRISTIAN SCHOOL,1601 98TH AVE NE,CLYDE HILL,WA,98004,(425) 454-4402,1043,KING,47.625576168,-122.210884404,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01461978,3,959,yes
50,MONTESSORI ACADEMY AT SPRING VALLEY,36605 PACIFIC HWY S,FEDERAL WAY,WA,98003,(253) 874-0563,42,KING,47.273821465,-122.328228614,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01462042,1,35,yes
51,THE OVERLAKE SCHOOL,20301 NE 108TH ST,REDMOND,WA,98053,(425) 868-1000,601,KING,47.69467941,-122.070884423,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01462326,3,535,yes
52,BELLEVUE MONTESSORI SCHOOL,2411 112TH AVE NE,BELLEVUE,WA,98004,(425) 454-7439,78,KING,47.631927385,-122.191050005,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01462337,1,68,yes
53,THE MERIDIAN SCHOOL,4649 SUNNYSIDE AVE N STE 242,SEATTLE,WA,98103,(206) 632-7154,224,KING,47.663981054,-122.331203284,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01463057,1,195,yes
54,CASCADIA MONTESSORI SCHOOL,4239 162ND AVE,REDMOND,WA,98052,(425) 881-1026,61,KING,47.648595039,-122.124347631,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01463465,1,53,yes
55,ST LUKE SCHOOL,17533 SAINT LUKE PL N,SHORELINE,WA,98133,(206) 542-1133,315,KING,47.756693281,-122.35368444,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01603835,1,293,yes
56,MORNINGSIDE ACADEMY,901 LENORA ST,SEATTLE,WA,98121,(206) 709-9500,99,KING,47.619967743,-122.338876472,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01913075,3,90,yes
57,SPRUCE ST SCHOOL,914 VIRGINIA ST,SEATTLE,WA,98101,(206) 621-9211,116,KING,47.616603292,-122.335623294,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01913483,1,108,yes
58,HOLY INNOCENTS SCHOOL OF THE NORTHWEST,2530 S 298TH ST,FEDERAL WAY,WA,98003,(253) 839-0788,27,KING,47.334992127,-122.30069245,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=02066365,3,24,yes
59,SHOREWOOD CHRISTIAN SCHOOL,10300 28TH AVE SW,SEATTLE,WA,98146,(206) 933-1056,107,KING,47.510775016,-122.367431855,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=02066514,1,96,yes
60,O'DEA HIGH SCHOOL,802 TERRY AVE,SEATTLE,WA,98104,(206) 622-6596,527,KING,47.608063974,-122.325094212,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460475,2,490,yes
61,ST ANNE SCHOOL,101 W LEE ST,SEATTLE,WA,98119,(206) 282-3538,263,KING,47.631055259,-122.358657937,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460544,1,241,yes
62,ST BERNADETTE SCHOOL,1028 SW 128TH ST,BURIEN,WA,98146,(206) 244-4934,182,KING,47.48912715,-122.348206951,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460566,1,168,yes
63,ST GEORGE PARISH SCHOOL,5117 13TH AVE S,SEATTLE,WA,98108,(206) 276-2581,231,KING,47.556295475,-122.316598843,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460602,1,219,yes
64,ST JOHN SCHOOL,120 N 79TH ST,SEATTLE,WA,98103,(206) 783-0337,491,KING,47.686435889,-122.357121249,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460613,1,463,yes
65,ST JOSEPH SCHOOL,700 18TH AVE E,SEATTLE,WA,98112,(206) 329-3260,633,KING,47.625530642,-122.30826556,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460624,1,586,yes
66,HOLY FAMILY CATHOLIC SCHOOL,505 17TH ST SE,AUBURN,WA,98002,(253) 833-8688,136,KING,47.293943712,-122.222941955,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01461016,1,125,yes
67,UNIVERSITY PREP,8000 25TH AVE NE,SEATTLE,WA,98115,(206) 525-2714,635,KING,47.686989787,-122.300132976,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01462315,3,568,yes
68,THE BUSH SCHOOL,3400 E HARRISON ST,SEATTLE,WA,98112,(206) 838-8807,731,KING,47.622924708,-122.288558247,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01463261,3,657,yes
69,NORTHWEST YESHIVA HS,5017 90TH AVE SE,MERCER ISLAND,WA,98040,(206) 232-5272,82,KING,47.557691499,-122.220015528,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01913756,2,64,yes
70,BILLINGS MIDDLE SCHOOL,7217 WOODLAWN AVE NE,SEATTLE,WA,98115,(206) 547-4614,108,KING,47.680710315,-122.32529082,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=02066627,1,92,yes
71,SEATTLE PREPARATORY SCHOOL,2400 11TH AVE E,SEATTLE,WA,98102,(206) 324-0400,773,KING,47.641330958,-122.316780513,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=02164646,2,718,yes
72,AMAZING GRACE CHRISTIAN SCHOOL,10056 RENTON AVE S,SEATTLE,WA,98178,(206) 723-5526,155,KING,47.511013912,-122.260033886,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0110094,1,144,yes
73,CHESTNUT HILL ACADEMY,13633 SE 26TH ST,BELLEVUE,WA,98005,(425) 372-2800,280,KING,47.634317363,-122.184516643,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0110106,1,255,yes
74,FRENCH IMMERSION SCHOOL OF WASHINGTON,4211 W LK SAMMAMISH PKWY SE,BELLEVUE,WA,98008,(425) 653-3970,136,KING,47.569803865,-122.101769802,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0110124,1,120,yes
75,KING'S SCHOOLS,19303 FREMONT AVE N MS # 40,SHORELINE,WA,98133,(206) 546-7211,1201,KING,47.768474294,-122.353135975,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0110136,3,1132,yes
76,SEATTLE GIRLS SCHOOL,2706 S JACKSON ST,SEATTLE,WA,98144,(206) 709-2228,141,KING,47.599516272,-122.296898193,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0110161,1,128,yes
77,BRIGHT WATER WALDORF SCHOOL,1501 10TH AVE E STE 100,SEATTLE,WA,98102,(206) 624-6176,183,KING,47.631868915,-122.32126404,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0303264,1,158,yes
78,CALVARY LUTHERAN PRESCHOOL & KINDERGARTEN,16231 NE 6TH ST,BELLEVUE,WA,98008,(425) 747-5410,2,KING,47.614901791,-122.122241593,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0308061,1,1,yes
79,LAKESIDE MONTESSORI SCHOOL,3520 ISSAQUAH PINE LAKE RD SE,ISSAQUAH,WA,98029,(425) 392-0100,21,KING,47.57916496,-122.073860142,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0308141,1,19,yes
80,ALCUIN SCHOOL,216 W BOSTON ST,SEATTLE,WA,98119,(206) 286-0771,3,KING,47.638431004,-122.36050475,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0503618,1,2,yes
81,ST MADELEINE SOPHIE CATHOLIC SCHOOL,4400 130TH PL SE,BELLEVUE,WA,98006,(425) 747-6770,179,KING,47.566273891,-122.165814386,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0503677,1,161,yes
82,THREE TREE MONTESSORI SCHOOL,220 SW 160TH ST,BURIEN,WA,98166,(206) 242-5100,110,KING,47.460167723,-122.336779534,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0508344,1,102,yes
83,DARTMOOR SCHOOL,9618 ROOSEVELT WAY NE,SEATTLE,WA,98115,(206) 522-2379,26,KING,47.699160743,-122.317239259,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0702397,2,20,yes
84,LIVING WISDOM SCHOOL OF SEATTLE,2000 NE PERKINS WAY,SHORELINE,WA,98155,(425) 772-9862,36,KING,47.736033762,-122.328258763,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0702402,1,30,yes
85,TORAH DAY SCHOOL OF SEATTLE,1625 S COLUMBIAN WAY,SEATTLE,WA,98108,(206) 722-1200,91,KING,47.549415125,-122.286577972,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0702415,1,80,yes
86,MENACHEM MENDEL SEATTLE CHEDER DAY SCHOOL,6208 60TH AVE NE,SEATTLE,WA,98115,(206) 523-9766,60,KING,47.662486625,-122.307569455,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0740153,1,52,yes
87,TILDEN SCHOOL,4105 CALIFORNIA AVE SW,SEATTLE,WA,98116,(206) 938-4628,107,KING,47.56636124,-122.387079584,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0740154,1,98,yes
88,CEDAR RIVER MONTESSORI SCHOOL,15828 SE JONES RD,RENTON,WA,98058,(425) 271-9614,89,KING,47.465490602,-122.127155968,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106790,1,79,yes
